Designator,Footprint,Quantity,Value,LCSC Part #
1N4001,D_DO-35_SOD27_P7.62mm_Horizontal,1,1n4001,
C1,CP_Radial_D6.3mm_P2.50mm,1,100uF,
ENC5,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,EC11,
J1,PinHeader_1x02_P2.54mm_Vertical,1,BATTERY,
J2,PJ-320A,1,MIDI IN ◁ ,
J3,PJ-320A,1,MIDI OUT,
R10,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,4.7k,
"R13, R14",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,330,
R19,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,10,
R20,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,30,
"R4, R8",R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,2,220,
R5,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,150,
R9,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,1,1k,
SW1,SS-12F23,1,SW_SPDT,
U2,DIP-8_W7.62mm,1,6N138,
U3,128x64OLED,1,OLED-I2C,
